brand,model,year,price,mileage,horsepower,engine_capacity,engine_type,gear,transmission,bodywork,doors_num,steering_wheel,tech_condition,owners_num,color,vin
Audi,Q5,2020,3505000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,GREY,WAUZZZFY0L2****83
Audi,Q5,2011,998000,110665,211,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,RED,
Audi,A8,2013,1295000,139642,290,3.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,
Audi,Q3,2014,895000,156797,150,1.4,GASOLINE,FORWARD_CONTROL,AT,,,LEFT,,,BEIGE,
Audi,A5,2010,860000,198000,211,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,COUPE,2,LEFT,,,BLACK,
Audi,A3,2018,1800000,29400,150,1.4,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,BLUE,
Audi,A4,2013,800000,135000,170,1.8,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,BLACK,
Audi,A6,2019,3390000,1228,245,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,2,LEFT,,,BLACK,
Audi,A4,2006,524000,157321,130,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,GREY,
Audi,Q3,2015,1579000,90705,180,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,WHITE,
Audi,Q7,2017,3494000,70978,249,3.0,DIESEL,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BROWN,
Audi,Q3,2017,1950000,29640,180,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,WHITE,
Audi,Q7,2019,4482000,21813,249,3.0,DIESEL,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,
Audi,A5,2014,1597000,115619,225,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,COUPE,2,LEFT,,,WHITE,
Audi,A6,2020,2701000,0,190,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,BLACK,WAUZZZF26LN****95
Audi,A4,2020,3461000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,2,LEFT,,,GREY,WAUZZZF44MA****14
Audi,Q5,2013,1218000,179167,225,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,GREY,
Audi,A7,2019,5550000,19936,340,3.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLUE,
Audi,Q5,2020,3540000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,WHITE,WAUZZZFY8L2****30
Audi,Q5,2020,3810000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLUE,WAUZZZFY2L2****38
Audi,Q5,2020,3810000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,GREY,WAUZZZFY4L2****25
Audi,Q5,2020,3702999,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLUE,WAUZZZFY9L2****19
Audi,Q7,2012,1500000,167000,245,3.0,DIESEL,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BROWN,
Audi,Q3,2012,1175000,92054,170,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,ORANGE,
