brand,model,year,price,mileage,horsepower,engine_capacity,engine_type,gear,transmission,bodywork,doors_num,steering_wheel,tech_condition,owners_num,vin,color
Audi,Q3,2014,1399000,62000,170,2.0,GASOLINE,ALL_WHEEL_DRIVE,AMT,ALLROAD,5,LEFT,NOT_BEATEN,3,WAU**************,SNOW
Audi,Q5,2020,3460000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AMT,ALLROAD,5,LEFT,NOT_BEATEN,0,WAU**************,BLACK
Audi,A6,2015,1650000,58000,190,1.8,GASOLINE,FORWARD_CONTROL,AMT,SEDAN,4,LEFT,NOT_BEATEN,2,WAU**************,BLACK
Audi,A7,2012,1475000,85237,300,3.0,GASOLINE,ALL_WHEEL_DRIVE,AMT,LIFTBACK,5,LEFT,NOT_BEATEN,2,WAU**************,GRAY
Audi,A4,1999,220000,265000,150,1.8,GASOLINE,FORWARD_CONTROL,AT,SEDAN,4,LEFT,NOT_BEATEN,2,WAU**************,LIGHTGRAY
