brand,model,year,mileage,engine_type,transmission,color,bodywork,doors_num,steering_wheel,vin,owners_num,tech_condition,horsepower,engine_capacity,price,price_currency,price_with_nds
Audi,Q7,2010,174000,DIESEL,ALL_WHEEL_DRIVE,040001,ALLROAD_5_DOORS,5,LEFT,WAU**************,2,NOT_BEATEN,245,3.0d AT (245 л.с.) 4WD,1448000,RUR,False
Audi,A6,2015,120000,GASOLINE,FORWARD_CONTROL,040001,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,190,1.8 AMT (190 л.с.),1100000,RUR,False
Audi,Q5,2009,106000,GASOLINE,ALL_WHEEL_DRIVE,97948F,ALLROAD_5_DOORS,5,LEFT,WAU**************,3,NOT_BEATEN,211,2.0 AMT (211 л.с.) 4WD,800000,RUR,False
Audi,A3,2009,132000,GASOLINE,FORWARD_CONTROL,040001,HATCHBACK_5_DOORS,5,LEFT,WAU**************,3,NOT_BEATEN,102,1.6 AMT (102 л.с.),480000,RUR,False
Audi,A3,2015,87000,GASOLINE,ALL_WHEEL_DRIVE,200204,SEDAN,4,LEFT,WAU**************,2,NOT_BEATEN,180,1.8 AMT (180 л.с.) 4WD,1450000,RUR,False
Audi,Q3,2016,53472,GASOLINE,ALL_WHEEL_DRIVE,97948F,ALLROAD_5_DOORS,5,LEFT,WAU**************,1,NOT_BEATEN,180,2.0 AMT (180 л.с.) 4WD,1795000,RUR,False
Audi,A4,2015,107300,GASOLINE,FORWARD_CONTROL,040001,SEDAN,4,LEFT,WAU**************,1,NOT_BEATEN,120,1.8 CVT (120 л.с.),1049000,RUR,False
Audi,Q5,2013,140000,GASOLINE,ALL_WHEEL_DRIVE,FAFBFB,ALLROAD_5_DOORS,5,LEFT,XW8**************,3,NOT_BEATEN,225,2.0 AT (225 л.с.) 4WD,1230000,RUR,False
Audi,Q7,2016,27300,DIESEL,ALL_WHEEL_DRIVE,97948F,ALLROAD_5_DOORS,5,LEFT,XW8**************,1,NOT_BEATEN,249,3.0d AT (249 л.с.) 4WD,4599000,RUR,False
Audi,A4,2015,149000,GASOLINE,FORWARD_CONTROL,0000CC,SEDAN,4,LEFT,WAU**************,2,NOT_BEATEN,170,1.8 CVT (170 л.с.),1100000,RUR,False
Audi,Q3,2015,56100,GASOLINE,ALL_WHEEL_DRIVE,FAFBFB,ALLROAD_5_DOORS,5,LEFT,WAU**************,2,NOT_BEATEN,180,2.0 AMT (180 л.с.) 4WD,1570000,RUR,False
Audi,Q5,2020,0,GASOLINE,ALL_WHEEL_DRIVE,FAFBFB,ALLROAD_5_DOORS,5,LEFT,WAU**************,0,NOT_BEATEN,249,2.0 AMT (249 л.с.) 4WD,3810000,RUR,False
Audi,A8,2019,0,GASOLINE,ALL_WHEEL_DRIVE,040001,SEDAN,4,LEFT,WAU**************,0,NOT_BEATEN,460,60 TFSI Long 4.0 AT (460 л.с.) 4WD,10638000,RUR,False
Audi,A8,2019,0,GASOLINE,ALL_WHEEL_DRIVE,97948F,SEDAN,4,LEFT,WAU**************,0,NOT_BEATEN,340,55 TFSI Long 3.0 AT (340 л.с.) 4WD,7500000,RUR,False
Audi,A4,2020,0,GASOLINE,FORWARD_CONTROL,0000CC,SEDAN,4,LEFT,WAU**************,0,NOT_BEATEN,150,35 TFSI 2.0 AMT (150 л.с.),2600000,RUR,False
Audi,A4,2020,0,GASOLINE,ALL_WHEEL_DRIVE,040001,SEDAN,4,LEFT,WAU**************,0,NOT_BEATEN,249,45 TFSI 2.0 AMT (249 л.с.) 4WD,3361000,RUR,False
